timestamp,open,high,low,close,volume,RSI,MACD,Cluster
2025-03-24 01:00:00,86021.74,86038.78,85528.38,85563.04,808.31786,65.08891230363639,387.28685953373497,
2025-03-24 02:00:00,85563.03,85950.0,85519.09,85883.16,491.12974,69.7009548173195,402.27188621499226,
2025-03-24 03:00:00,85883.16,86577.15,85875.91,86532.07,1018.39825,76.48309095945635,461.19289701980597,
2025-03-24 04:00:00,86532.07,86932.47,86532.06,86841.83,1254.55624,78.90993080759479,526.8105220432772,
2025-03-24 05:00:00,86841.83,87027.32,86812.05,86899.73,899.4714,79.33911886480692,576.8356069244328,
2025-03-24 06:00:00,86899.72,87300.0,86899.72,87113.37,1182.96937,80.88485681112505,626.4979314675002,
2025-03-24 07:00:00,87113.37,87178.52,86753.1,86874.52,840.27046,74.20104221443697,639.2140212779632,
2025-03-24 08:00:00,86874.52,87519.38,86838.76,87416.35,1152.73374,78.53438457950662,685.1151854169002,
2025-03-24 09:00:00,87416.34,87513.52,87125.72,87163.73,697.87829,72.42628100127938,693.118032700484,
2025-03-24 10:00:00,87163.73,87909.99,87129.63,87801.27,1152.2906,77.23782715196704,742.3471804844885,
2025-03-24 11:00:00,87801.28,87858.82,87515.25,87689.52,731.38051,74.7747991871029,763.5426987712854,
2025-03-24 12:00:00,87689.52,87711.7,87246.89,87328.1,1023.53081,67.29993551593256,742.6163076994417,
2025-03-24 13:00:00,87328.09,87710.33,87138.6,87704.46,1429.38625,70.59623679642651,747.7811430967267,
2025-03-24 14:00:00,87704.47,88765.43,87640.77,87961.9,4043.87489,72.62873604256635,763.8424683442136,
2025-03-24 15:00:00,87961.9,88372.0,87678.06,88350.01,1848.70464,75.39054115874356,798.6817121324711,
2025-03-24 16:00:00,88350.01,88499.98,87690.59,88057.54,1818.05892,69.68437077394273,793.5446898910013,
2025-03-24 17:00:00,88057.53,88486.55,87941.06,88461.88,1471.3501,72.75460207480222,812.7317557714268,
2025-03-24 18:00:00,88461.88,88536.0,88123.11,88464.38,915.48486,72.7729625062712,818.7018870934407,
2025-03-24 19:00:00,88464.38,88508.0,87967.82,88222.0,1445.9412,67.98918452355088,794.7142476780136,
2025-03-24 20:00:00,88222.01,88481.14,87807.62,87832.0,1094.06938,61.03663555311324,735.7528293590585,
2025-03-24 21:00:00,87832.0,88274.0,87797.21,88100.01,1366.12115,63.77788821218863,702.5530534184654,
