timestamp,open,high,low,close,volume,RSI,MACD,HL_Volatility,Body,Volume_Change,Cluster,Sentiment
2024-07-04,60208.57,60498.19,56771.0,57050.01,54568.77276,0.012897091152624052,0.1409770800405884,0.23818746774537508,0.29954750798659435,0.2976237096738642,,
2024-07-05,57050.02,57546.0,53485.93,56628.79,81348.24756,0.0,0.11878113486424671,0.2639046406487084,0.4672004537169512,0.2559910752885099,,
2024-07-06,56628.79,58475.0,56018.0,58230.13,21651.31558,0.14278677233336612,0.11596539259257294,0.140056922653795,0.5910765733100753,0.008545504047730496,,
2024-07-07,58230.13,58449.46,55724.37,55857.81,19118.93918,0.05964334488711659,0.09828291501775224,0.16076864124203877,0.3477022617251043,0.1331950858931317,,
2024-07-08,55857.81,58236.73,54260.16,56714.62,48090.2049,0.1270643261402815,0.09360047075863753,0.25745371557832764,0.5454764272974932,0.46301965368917863,,
2024-07-09,56714.61,58296.0,56289.45,58050.0,27732.20788,0.22462687987923347,0.10277963124435832,0.10525669273819034,0.5747879632714654,0.07128928523409958,,
2024-07-10,58050.0,59470.0,57157.79,57725.85,24951.73799,0.21085661793924781,0.11015088297405101,0.12887094132516708,0.47314630166787497,0.13656962861701016,,
2024-07-11,57725.85,59650.0,57050.0,57339.89,29761.05735,0.1940647724977047,0.11555374416523714,0.15110461469049496,0.46936063147992063,0.1957755847202408,,
2024-07-12,57339.89,58526.68,56542.47,57889.1,23652.4569,0.2370813962857541,0.12643258779308547,0.10353078056965943,0.5266368843462749,0.11535425949299076,,
2024-07-13,57889.09,59850.0,57756.63,59204.02,15357.74519,0.333443557337868,0.14727459211490376,0.1119641096796329,0.5735348519295217,0.08596680548756003,,
2024-07-14,59204.01,61420.69,59194.01,60797.91,21178.33907,0.4348327610592364,0.17779692877542763,0.12226318538181787,0.5906208964584596,0.23341111482158533,,
2024-07-15,60797.91,64900.0,60632.3,64724.14,38690.9782,0.6202299056826359,0.23321280660863775,0.2799454259464705,0.7334688522823033,0.32391795726549805,,
2024-07-16,64724.06,65388.97,62373.24,65043.99,42530.52915,0.6325804976206608,0.28019841507045334,0.18322249588222445,0.5125941977147559,0.1768808970733772,,
2024-07-17,65044.0,66128.63,63854.0,64087.99,29567.52954,0.5719190107314666,0.31038479246461465,0.12596763876055778,0.43444684260039557,0.09524123511649743,2.0,Bullish
2024-07-18,64087.99,65133.3,63238.48,63987.92,22568.7225,0.565525305803068,0.3335452252448118,0.09662481419790696,0.48687050447837227,0.10899914616356153,2.0,Bullish
2024-07-19,63987.92,67386.0,63300.67,66660.0,35634.72739,0.6755413995123631,0.37192373033853504,0.26585614205323327,0.6566560668718027,0.27381225307803103,2.0,Bullish
2024-07-20,66660.01,67598.0,66222.46,67139.96,14386.92434,0.6928995326740777,0.40519233738265836,0.05650701335302846,0.5223949248378187,0.036344906404343805,2.0,Bullish
2024-07-21,67139.97,68366.66,65777.0,68165.34,21819.11191,0.7291504857073465,0.43820745634451375,0.15030578157399538,0.5558002028496947,0.2612136113389619,2.0,Bullish
2024-07-22,68165.35,68474.55,66559.97,67532.01,21451.04303,0.6828651992729051,0.4580904061253504,0.09815140437025112,0.45420937616369,0.1534201913256782,2.0,Bullish
2024-07-23,67532.0,67750.98,65441.08,65936.01,31406.15316,0.5744761771456605,0.4601701034331668,0.12869247860765076,0.39525005879701264,0.2506036279354039,2.0,Bullish
2024-07-24,65936.0,67102.01,65111.0,65376.0,23082.56277,0.5389667485382242,0.4561206847505975,0.10405612536580987,0.4587012229778725,0.10327574648921059,2.0,Bullish
2024-07-25,65376.01,66175.49,63456.7,65799.95,35126.42934,0.5596896229083712,0.45476450569931476,0.16028192473972352,0.5189644866040799,0.2622603321453316,2.0,Bullish
2024-07-26,65799.95,68200.0,65722.63,67907.99,24244.36023,0.6530189870816616,0.46828333669447153,0.1416306393446169,0.622110371793113,0.09423003165379573,2.0,Bullish
